,법정동,인구수,택배함 개수,물류창고 개수,전기차 등록 수,충전기 개수,전기차한대당충전소개수
350,서울특별시 강서구 오곡동,14,1,0,202,0,0.0
351,서울특별시 강서구 오쇠동,6,0,0,0,0,0.0
352,서울특별시 구로구 신도림동,35749,0,0,83,7,0.08433734939759036
353,서울특별시 구로구 구로동,115338,5,1,3313,17,0.005131300935707818
354,서울특별시 구로구 가리봉동,8961,1,0,8,1,0.125
355,서울특별시 구로구 고척동,51991,1,0,100,18,0.18
356,서울특별시 구로구 개봉동,83359,0,4,156,4,0.02564102564102564
357,서울특별시 구로구 오류동,43841,1,0,142,5,0.035211267605633804
358,서울특별시 구로구 궁동,14050,2,0,44,0,0.0
359,서울특별시 구로구 온수동,8865,0,0,0,0,0.0
360,서울특별시 구로구 천왕동,16537,0,0,0,11,0.0
361,서울특별시 구로구 항동,16408,0,0,67,10,0.14925373134328357
362,서울특별시 금천구 가산동,24472,0,12,157,1,0.006369426751592357
363,서울특별시 금천구 독산동,103061,4,0,234,4,0.017094017094017096
364,서울특별시 금천구 시흥동,101795,6,0,271,5,0.01845018450184502
365,서울특별시 영등포구 영등포동,13854,2,0,46,0,0.0
366,서울특별시 영등포구 영등포동1가,3992,0,1,0,3,0.0
367,서울특별시 영등포구 영등포동2가,4141,0,1,0,3,0.0
368,서울특별시 영등포구 영등포동3가,1789,0,0,0,0,0.0
369,서울특별시 영등포구 영등포동4가,1387,0,0,0,0,0.0
370,서울특별시 영등포구 영등포동5가,1821,0,0,115,0,0.0
371,서울특별시 영등포구 영등포동6가,1838,0,0,0,0,0.0
372,서울특별시 영등포구 영등포동7가,9858,0,0,0,0,0.0
373,서울특별시 영등포구 영등포동8가,4910,0,0,0,0,0.0
374,서울특별시 영등포구 여의도동,32500,0,0,1537,20,0.013012361743656473
375,서울특별시 영등포구 당산동1가,6652,1,1,92,0,0.0
376,서울특별시 영등포구 당산동2가,5101,0,0,0,3,0.0
377,서울특별시 영등포구 당산동3가,9073,0,0,0,5,0.0
378,서울특별시 영등포구 당산동4가,12194,0,1,0,2,0.0
379,서울특별시 영등포구 당산동5가,12903,0,0,0,0,0.0
380,서울특별시 영등포구 당산동6가,3427,0,0,0,0,0.0
381,서울특별시 영등포구 당산동,8221,1,0,113,0,0.0
382,서울특별시 영등포구 도림동,17725,1,0,40,4,0.1
383,서울특별시 영등포구 문래동1가,244,0,0,0,0,0.0
384,서울특별시 영등포구 문래동2가,1090,0,0,0,0,0.0
385,서울특별시 영등포구 문래동3가,13540,0,0,110,23,0.20909090909090908
386,서울특별시 영등포구 문래동4가,1971,0,0,0,0,0.0
387,서울특별시 영등포구 문래동5가,4615,0,0,0,0,0.0
388,서울특별시 영등포구 문래동6가,10742,0,0,0,0,0.0
